well,zone,vsh_cutoff,kh_mean,kh_p_low,kh_p_high,kh_std,n_bootstrap
1,A,0.300000,7463.240757,5406.194526,9729.320617,1375.201979,200
1,A,0.500000,24456.558894,21375.041584,27804.202839,1991.969911,200
1,A,0.700000,29435.203365,26942.116416,32736.574289,1948.516792,200
1,B,0.300000,1733760.000000,1677000.000000,1785000.000000,33046.372170,200
1,B,0.500000,1965795.000000,1932000.000000,2001150.000000,22052.540619,200
1,B,0.700000,1965795.000000,1932000.000000,1998150.000000,21209.957247,200
1,C,0.300000,50764.083987,41684.756461,60341.770543,5923.110907,200
1,C,0.500000,79149.909056,69595.539597,90418.810969,7103.856260,200
1,C,0.700000,80234.577292,69371.287067,90646.368462,6608.209458,200
1,D,0.300000,0.000000,0.000000,0.000000,0.000000,200
1,D,0.500000,3.697881,2.142020,5.436359,1.042923,200
1,D,0.700000,7.245088,5.085661,9.675330,1.349234,200
1,E,0.300000,130028.843436,111635.548935,148573.772680,12092.528369,200
1,E,0.500000,198189.470580,178626.618258,219452.160488,13405.147469,200
1,E,0.700000,214271.700053,194658.458249,236670.349633,12452.833717,200
2,A,0.300000,16565.698805,12994.289327,20433.272944,2225.935542,200
2,A,0.500000,45520.908540,41017.165039,50213.513836,2827.695782,200
2,A,0.700000,53679.473428,49701.122581,58280.861442,2592.207670,200
2,B,0.300000,1106895.000000,1064850.000000,1152150.000000,26826.709390,200
2,B,0.500000,1357260.711911,1332000.000000,1382758.951530,15115.088926,200
2,B,0.700000,1356183.516699,1328864.023940,1385876.385400,16608.754762,200
2,C,0.300000,102274.970660,86388.212712,118303.243193,10540.194632,200
2,C,0.500000,144359.715525,126423.137469,164672.697357,11332.097303,200
2,C,0.700000,149226.885681,130925.687184,167953.597586,11429.532917,200
2,D,0.300000,2.048788,0.243497,4.475680,1.297454,200
2,D,0.500000,8.413623,6.009841,11.383924,1.669245,200
2,D,0.700000,24.834717,21.027104,29.790745,2.734242,200
2,E,0.300000,134779.482565,114605.286149,152573.035642,12021.623583,200
2,E,0.500000,216929.601389,195104.393372,238773.906213,13765.408262,200
2,E,0.700000,238760.407308,218800.148700,260351.252414,12944.567867,200
3,A,0.300000,9827.489078,5614.813399,15024.156313,3087.508378,200
3,A,0.500000,23063.379519,18459.293826,28881.742437,3333.204456,200
3,A,0.700000,26831.914016,22130.466577,33483.050169,3648.777733,200
3,B,0.300000,970515.000000,930000.000000,1014000.000000,26987.430072,200
3,B,0.500000,1157370.000000,1130850.000000,1182150.000000,17388.065566,200
3,B,0.700000,1155525.000000,1125000.000000,1179000.000000,15955.319996,200
3,C,0.300000,50993.888634,42453.040588,60912.136909,5747.008855,200
3,C,0.500000,79641.584750,66220.966828,92935.063163,8111.899479,200
3,C,0.700000,84030.729624,73012.228063,96361.765133,7144.202209,200
3,D,0.300000,0.000000,0.000000,0.000000,0.000000,200
3,D,0.500000,1.109092,0.247320,2.062797,0.555043,200
3,D,0.700000,1.727909,0.873644,2.722563,0.588750,200
3,E,0.300000,96578.842738,80787.879428,114581.910739,10492.849003,200
3,E,0.500000,148675.660328,131503.731759,166761.120964,10820.202682,200
3,E,0.700000,158160.687524,139015.740025,174846.687812,11088.569899,200
4,A,0.300000,21703.560035,16528.211372,26315.654975,3001.039529,200
4,A,0.500000,54373.303737,48714.551639,59431.770672,3510.980789,200
4,A,0.700000,65725.043440,60573.613171,71185.781810,3374.357291,200
4,B,0.300000,1141650.000000,1094700.000000,1188150.000000,28868.746468,200
4,B,0.500000,1359155.909643,1331983.775581,1383117.551162,15454.828818,200
4,B,0.700000,1358082.001388,1326000.000000,1382675.511620,16758.603791,200
4,C,0.300000,71652.960040,62069.154457,81005.799540,5762.875864,200
4,C,0.500000,111069.250961,100744.181389,124430.096859,7055.557599,200
4,C,0.700000,116788.662656,104407.738207,129552.888683,7830.109185,200
4,D,0.300000,1.027328,0.273558,2.003551,0.521112,200
4,D,0.500000,6.689605,4.839412,8.616706,1.106314,200
4,D,0.700000,16.709902,14.229703,19.570122,1.576440,200
4,E,0.300000,97094.652480,81824.776054,113292.572759,9890.637228,200
4,E,0.500000,145501.164114,129335.970742,162276.140247,10625.756864,200
4,E,0.700000,163549.228049,147622.909857,178806.814153,9733.327251,200
5,A,0.300000,16041.457874,8998.735780,25124.840513,4964.501100,200
5,A,0.500000,41988.800383,32981.656137,50982.344755,5496.032468,200
5,A,0.700000,52398.132418,44123.869650,60026.388362,5259.812820,200
