well,zone,gross_thickness_m,net_thickness_m,ntg,avg_phit,avg_perm_mD,avg_perm_kh_weighted_mD,kh_mD_m,lorenz_coefficient,n_samples,n_samples_net,n_phit_nan,n_perm_saturated_in_net
1,A,74.600000,48.200000,0.646113,0.169912,502.986899,502.986899,24243.968540,0.429463,373.000000,241.000000,0.000000,0.000000
1,B,141.800000,131.000000,0.923836,0.290651,15000.000000,15000.000000,1965000.000000,0.001043,709.000000,655.000000,0.000000,655.000000
1,C,136.200000,110.600000,0.812041,0.201478,709.503969,709.503969,78471.138940,0.631492,681.000000,553.000000,0.000000,1.000000
1,D,37.600000,4.600000,0.122340,0.091713,0.798870,0.798870,3.674800,0.447484,188.000000,23.000000,0.000000,0.000000
1,E,139.800000,97.400000,0.696710,0.207401,2036.172262,2036.172262,198323.178340,0.508379,699.000000,487.000000,0.000000,6.000000
2,A,119.000000,78.800000,0.662185,0.171184,577.114044,577.114044,45476.586640,0.448492,595.000000,394.000000,0.000000,0.000000
2,B,96.400000,90.400000,0.937759,0.287869,14998.632582,14998.632582,1355876.385400,0.000000,482.000000,452.000000,0.000000,451.000000
2,C,209.400000,176.600000,0.843362,0.203990,816.650913,816.650913,144220.551160,0.678789,1047.000000,883.000000,0.000000,5.000000
2,D,109.600000,10.000000,0.091241,0.094100,0.836740,0.836740,8.367400,0.441134,548.000000,50.000000,0.000000,0.000000
2,E,145.600000,106.200000,0.729396,0.205210,2054.588687,2054.588687,218197.318600,0.523796,728.000000,531.000000,0.000000,10.000000
3,A,60.400000,37.200000,0.615894,0.172799,621.282698,621.282698,23111.716360,0.474097,302.000000,186.000000,15.000000,0.000000
3,B,84.600000,77.000000,0.910165,0.288058,15000.000000,15000.000000,1155000.000000,0.002888,423.000000,385.000000,14.000000,385.000000
3,C,133.000000,106.400000,0.800000,0.202523,748.886574,748.886574,79681.531440,0.652479,665.000000,532.000000,31.000000,3.000000
3,D,11.800000,1.200000,0.101695,0.089800,0.932300,0.932300,1.118760,0.407413,59.000000,6.000000,0.000000,0.000000
3,E,100.200000,69.600000,0.694611,0.206859,2124.110142,2124.110142,147838.065900,0.510178,501.000000,348.000000,18.000000,7.000000
4,A,149.600000,92.400000,0.617647,0.172315,589.021674,589.021674,54425.602640,0.464435,748.000000,462.000000,0.000000,0.000000
4,B,96.800000,90.600000,0.935950,0.285595,14996.418451,14996.418451,1358675.511620,0.000445,484.000000,453.000000,0.000000,452.000000
4,C,199.200000,166.000000,0.833333,0.203018,669.872647,669.872647,111198.859320,0.618531,996.000000,830.000000,0.000000,1.000000
4,D,89.000000,9.600000,0.107865,0.093708,0.683344,0.683344,6.560100,0.352058,445.000000,48.000000,0.000000,0.000000
4,E,115.400000,79.600000,0.689775,0.201725,1842.061639,1842.061639,146628.106500,0.505800,577.000000,398.000000,0.000000,4.000000
5,A,112.000000,66.500000,0.593750,0.170738,624.567657,624.567657,41533.749200,0.477916,224.000000,133.000000,0.000000,0.000000
5,B,80.500000,75.500000,0.937888,0.291681,15000.000000,15000.000000,1132500.000000,0.003263,161.000000,151.000000,0.000000,151.000000
5,C,157.500000,135.000000,0.857143,0.202740,734.045930,734.045930,99096.200500,0.643235,315.000000,270.000000,0.000000,0.000000
5,D,76.500000,4.500000,0.058824,0.089756,0.565633,0.565633,2.545350,0.297388,153.000000,9.000000,0.000000,0.000000
5,E,103.500000,73.000000,0.705314,0.205742,2213.015162,2213.015162,161550.106800,0.527734,207.000000,146.000000,0.000000,1.000000
6,A,125.600000,77.800000,0.619427,0.172987,585.223876,585.223876,45530.417540,0.464114,628.000000,389.000000,0.000000,0.000000
6,B,95.000000,89.400000,0.941053,0.287070,14987.569964,14987.569964,1339888.754800,0.001497,475.000000,447.000000,0.000000,445.000000
6,C,155.800000,131.000000,0.840822,0.202653,748.389482,748.389482,98039.022200,0.633233,779.000000,655.000000,0.000000,2.000000
6,D,98.200000,10.600000,0.107943,0.094925,0.853694,0.853694,9.049160,0.479803,491.000000,53.000000,0.000000,0.000000
6,E,145.400000,99.000000,0.680880,0.204903,2113.733452,2113.733452,209259.611720,0.537886,727.000000,495.000000,0.000000,7.000000
7,A,96.800000,63.600000,0.657025,0.169983,513.359823,513.359823,32649.684720,0.429148,484.000000,318.000000,0.000000,0.000000
7,B,170.200000,158.000000,0.928320,0.287957,14998.442755,14998.442755,2369753.955280,0.004124,851.000000,790.000000,0.000000,789.000000
7,C,103.200000,89.400000,0.866279,0.203300,773.263066,773.263066,69129.718120,0.685603,516.000000,447.000000,0.000000,5.000000
7,D,90.600000,12.400000,0.136865,0.092568,0.840573,0.840573,10.423100,0.419857,453.000000,62.000000,0.000000,0.000000
7,E,89.200000,62.000000,0.695067,0.204507,1934.463869,1934.463869,119936.759900,0.512021,446.000000,310.000000,0.000000,4.000000
