well,depth,zone,sub_zone
1,1924.800000,B,1
1,1925.000000,B,1
1,1925.200000,B,2
1,1925.400000,B,2
1,1925.600000,B,2
1,1925.800000,B,2
1,1926.000000,B,2
1,1926.200000,B,2
1,1926.400000,B,2
1,1926.600000,B,2
1,1926.800000,B,2
1,1927.000000,B,2
1,1927.200000,B,2
1,1927.400000,B,2
1,1927.600000,B,2
1,1927.800000,B,2
1,1928.000000,B,2
1,1928.200000,B,2
1,1928.400000,B,2
1,1928.600000,B,2
1,1928.800000,B,2
1,1929.000000,B,2
1,1929.200000,B,2
1,1929.400000,B,2
1,1929.600000,B,2
1,1929.800000,B,2
1,1930.000000,B,2
1,1930.200000,B,2
1,1930.400000,B,2
1,1930.600000,B,2
1,1930.800000,B,2
1,1931.000000,B,2
1,1931.200000,B,2
1,1931.400000,B,2
1,1931.600000,B,2
1,1931.800000,B,2
1,1932.000000,B,2
1,1932.200000,B,2
1,1932.400000,B,2
1,1932.600000,B,2
1,1932.800000,B,2
1,1933.000000,B,2
1,1933.200000,B,2
1,1933.400000,B,2
1,1933.600000,B,2
1,1933.800000,B,2
1,1934.000000,B,2
1,1934.200000,B,2
1,1934.400000,B,2
1,1934.600000,B,2
1,1934.800000,B,2
1,1935.000000,B,2
1,1935.200000,B,2
1,1935.400000,B,2
1,1935.600000,B,2
1,1935.800000,B,1
1,1936.000000,B,1
1,1936.200000,B,1
1,1936.400000,B,1
1,1936.600000,B,1
1,1936.800000,B,1
1,1937.000000,B,1
1,1937.200000,B,1
1,1937.400000,B,1
1,1937.600000,B,1
1,1937.800000,B,1
1,1938.000000,B,1
1,1938.200000,B,1
1,1938.400000,B,1
1,1938.600000,B,1
1,1938.800000,B,1
1,1939.000000,B,2
1,1939.200000,B,2
1,1939.400000,B,2
1,1939.600000,B,2
1,1939.800000,B,2
1,1940.000000,B,2
1,1940.200000,B,2
1,1940.400000,B,2
1,1940.600000,B,2
1,1940.800000,B,2
1,1941.000000,B,2
1,1941.200000,B,2
1,1941.400000,B,2
1,1941.600000,B,2
1,1941.800000,B,2
1,1942.000000,B,2
1,1942.200000,B,2
1,1942.400000,B,2
1,1942.600000,B,2
1,1942.800000,B,2
1,1943.000000,B,2
1,1943.200000,B,2
1,1943.400000,B,2
1,1943.600000,B,2
1,1943.800000,B,1
1,1944.000000,B,1
1,1944.200000,B,1
1,1944.400000,B,1
1,1944.600000,B,1
1,1944.800000,B,1
1,1945.000000,B,1
1,1945.200000,B,1
1,1945.400000,B,1
1,1945.600000,B,1
1,1945.800000,B,1
1,1946.000000,B,1
1,1946.200000,B,1
1,1946.400000,B,1
1,1946.600000,B,1
1,1946.800000,B,2
1,1947.000000,B,2
1,1947.200000,B,2
1,1947.400000,B,2
1,1947.600000,B,2
1,1947.800000,B,2
1,1948.000000,B,2
1,1948.200000,B,2
1,1948.400000,B,2
1,1948.600000,B,2
1,1948.800000,B,2
1,1949.000000,B,2
1,1949.200000,B,1
1,1949.400000,B,1
1,1949.600000,B,1
1,1949.800000,B,1
1,1950.000000,B,1
1,1950.200000,B,1
1,1950.400000,B,1
1,1950.600000,B,1
1,1950.800000,B,1
1,1951.000000,B,1
1,1951.200000,B,1
1,1951.400000,B,1
1,1951.600000,B,1
1,1951.800000,B,1
1,1952.000000,B,1
1,1952.200000,B,2
1,1952.400000,B,2
1,1952.600000,B,2
1,1952.800000,B,2
1,1953.000000,B,2
1,1953.200000,B,2
1,1953.400000,B,2
