well,depth,zone,sub_zone
1,2066.600000,C,2
1,2066.800000,C,2
1,2067.000000,C,2
1,2067.200000,C,2
1,2067.400000,C,2
1,2067.600000,C,2
1,2067.800000,C,2
1,2068.000000,C,2
1,2068.200000,C,2
1,2068.400000,C,2
1,2068.600000,C,2
1,2068.800000,C,2
1,2069.000000,C,2
1,2069.200000,C,2
1,2069.400000,C,2
1,2069.600000,C,2
1,2069.800000,C,2
1,2070.000000,C,2
1,2070.200000,C,2
1,2070.400000,C,2
1,2070.600000,C,2
1,2070.800000,C,2
1,2071.000000,C,2
1,2071.200000,C,2
1,2071.400000,C,2
1,2071.600000,C,2
1,2071.800000,C,2
1,2072.000000,C,2
1,2072.200000,C,2
1,2072.400000,C,2
1,2072.600000,C,2
1,2072.800000,C,2
1,2073.000000,C,2
1,2073.200000,C,2
1,2073.400000,C,2
1,2073.600000,C,2
1,2073.800000,C,2
1,2074.000000,C,2
1,2074.200000,C,2
1,2074.400000,C,2
1,2074.600000,C,2
1,2074.800000,C,2
1,2075.000000,C,2
1,2075.200000,C,2
1,2075.400000,C,2
1,2075.600000,C,2
1,2075.800000,C,2
1,2076.000000,C,2
1,2076.200000,C,2
1,2076.400000,C,2
1,2076.600000,C,2
1,2076.800000,C,2
1,2077.000000,C,2
1,2077.200000,C,2
1,2077.400000,C,2
1,2077.600000,C,2
1,2077.800000,C,2
1,2078.000000,C,2
1,2078.200000,C,2
1,2078.400000,C,2
1,2078.600000,C,2
1,2078.800000,C,2
1,2079.000000,C,2
1,2079.200000,C,2
1,2079.400000,C,2
1,2079.600000,C,2
1,2079.800000,C,2
1,2080.000000,C,2
1,2080.200000,C,2
1,2080.400000,C,2
1,2080.600000,C,2
1,2080.800000,C,2
1,2081.000000,C,2
1,2081.200000,C,2
1,2081.400000,C,2
1,2081.600000,C,2
1,2081.800000,C,2
1,2082.000000,C,2
1,2082.200000,C,2
1,2082.400000,C,2
1,2082.600000,C,2
1,2082.800000,C,2
1,2083.000000,C,2
1,2083.200000,C,2
1,2083.400000,C,2
1,2083.600000,C,2
1,2083.800000,C,2
1,2084.000000,C,2
1,2084.200000,C,2
1,2084.400000,C,2
1,2084.600000,C,2
1,2084.800000,C,2
1,2085.000000,C,2
1,2085.200000,C,2
1,2085.400000,C,2
1,2085.600000,C,2
1,2085.800000,C,2
1,2086.000000,C,2
1,2086.200000,C,2
1,2086.400000,C,2
1,2086.600000,C,2
1,2086.800000,C,2
1,2087.000000,C,2
1,2087.200000,C,1
1,2087.400000,C,1
1,2087.600000,C,1
1,2087.800000,C,1
1,2088.000000,C,1
1,2088.200000,C,1
1,2088.400000,C,1
1,2088.600000,C,2
1,2088.800000,C,2
1,2089.000000,C,2
1,2089.200000,C,2
1,2089.400000,C,2
1,2089.600000,C,2
1,2089.800000,C,2
1,2090.000000,C,2
1,2090.200000,C,2
1,2090.400000,C,2
1,2090.600000,C,2
1,2090.800000,C,2
1,2091.000000,C,2
1,2091.200000,C,2
1,2091.400000,C,2
1,2091.600000,C,2
1,2091.800000,C,2
1,2092.000000,C,2
1,2092.200000,C,2
1,2092.400000,C,2
1,2092.600000,C,2
1,2092.800000,C,2
1,2093.000000,C,2
1,2093.200000,C,1
1,2093.400000,C,1
1,2093.600000,C,1
1,2093.800000,C,1
1,2094.000000,C,1
1,2094.200000,C,1
1,2094.400000,C,1
1,2094.600000,C,1
1,2094.800000,C,1
1,2095.000000,C,1
1,2095.200000,C,1
1,2095.400000,C,1
1,2095.600000,C,1
1,2095.800000,C,1
