well,sub_zone,thickness_m,n_samples,avg_phit,avg_perm_mD,avg_perm_kh_weighted_mD,kh_mD_m,n_perm_saturated,frac_saturated
1,0,40.600000,203,0.135932,164.617927,164.617927,6683.487840,0,0.000000
1,1,44.000000,220,0.203101,601.723025,601.723025,26475.813100,0,0.000000
1,2,51.600000,258,0.222882,982.725574,982.725574,50708.639600,1,0.003876
2,0,62.400000,312,0.141646,210.685041,210.685041,13146.746540,0,0.000000
2,1,73.200000,366,0.209164,790.349131,790.349131,57853.556400,3,0.008197
2,2,73.800000,369,0.222880,1099.551177,1099.551177,81146.876880,2,0.005420
3,0,42.200000,211,0.142926,307.480423,307.480423,12975.673860,1,0.004739
3,1,42.400000,212,0.202832,656.075584,656.075584,27817.604760,1,0.004717
3,2,42.200000,211,0.230264,1041.723664,1041.723664,43960.738640,1,0.004739
4,0,65.800000,329,0.142889,218.213306,218.213306,14358.435520,0,0.000000
4,1,62.800000,314,0.204034,583.681937,583.681937,36655.225660,1,0.003185
4,2,70.600000,353,0.228350,962.301221,962.301221,67938.466200,0,0.000000
5,0,53.000000,106,0.143050,235.268558,235.268558,12469.233550,0,0.000000
5,1,46.500000,93,0.205770,660.065197,660.065197,30693.031650,0,0.000000
5,2,58.000000,116,0.229490,1048.098116,1048.098116,60789.690750,0,0.000000
6,0,46.400000,232,0.135972,200.964072,200.964072,9324.732960,0,0.000000
6,1,54.000000,270,0.203326,603.146432,603.146432,32569.907340,0,0.000000
6,2,55.400000,277,0.231957,1131.162957,1131.162957,62666.427840,2,0.007220
7,0,30.400000,152,0.142107,164.333243,164.333243,4995.730600,0,0.000000
7,1,34.200000,171,0.206925,782.412552,782.412552,26758.509280,2,0.011696
7,2,38.600000,193,0.226959,1066.344586,1066.344586,41160.901020,3,0.015544
