well,sub_zone,thickness_m,n_samples,avg_phit,avg_perm_mD,avg_perm_kh_weighted_mD,kh_mD_m,n_perm_saturated,frac_saturated
1,0,40.600000,203,0.135932,164.617927,164.617927,6683.487840,0,0.000000
1,1,57.200000,286,0.203868,542.959606,542.959606,31057.289460,0,0.000000
1,2,38.400000,192,0.228540,1201.228209,1201.228209,46127.163240,1,0.005208
2,0,63.600000,318,0.142274,210.929672,210.929672,13415.127160,0,0.000000
2,1,93.200000,466,0.211260,778.504938,778.504938,72556.660240,3,0.006438
2,2,52.600000,263,0.225477,1258.087308,1258.087308,66175.392420,2,0.007605
3,0,39.200000,196,0.139297,289.843408,289.843408,11361.861600,1,0.005102
3,1,43.000000,215,0.202515,661.899195,661.899195,28461.665400,1,0.004651
3,2,44.600000,223,0.228254,1007.410096,1007.410096,44930.490260,1,0.004484
4,0,64.200000,321,0.141989,185.127584,185.127584,11885.190920,0,0.000000
4,1,80.200000,401,0.207570,696.399007,696.399007,55851.200400,1,0.002494
4,2,54.800000,274,0.229456,934.593724,934.593724,51215.736060,0,0.000000
5,0,52.500000,105,0.143131,212.218623,212.218623,11141.477700,0,0.000000
5,1,58.000000,116,0.205891,660.208641,660.208641,38292.101200,0,0.000000
5,2,47.000000,94,0.234133,1159.965469,1159.965469,54518.377050,0,0.000000
6,0,45.000000,225,0.135493,195.590563,195.590563,8801.575320,0,0.000000
6,1,66.800000,334,0.204859,653.440171,653.440171,43649.803420,0,0.000000
6,2,44.000000,220,0.235395,1184.311123,1184.311123,52109.689400,2,0.009091
7,0,30.400000,152,0.142107,164.333243,164.333243,4995.730600,0,0.000000
7,1,38.600000,193,0.208105,863.059118,863.059118,33314.081960,2,0.010363
7,2,34.200000,171,0.228205,1011.851706,1011.851706,34605.328340,3,0.017544
